Label,X,Y,Z,no_detects,obj_id
bottle,1.9418664234219447,0.4022502067010071,0.18271078367898128,4,0
chair,4.025872210103365,0.09644717786117396,0.12071295672676995,1,0
stop sign,5.4570138221964015,1.409792411230187,0.7596416713793878,1,0
stop sign,4.093592799299844,-0.3047672884441916,0.6606763905447246,8,1
stop sign,2.726575586351739,-0.8459042497269347,0.6804450413375454,4,2
umbrella,5.593501997307486,3.3158855509008403,0.5786321035171634,4,0
umbrella,4.300378351346565,2.33518241366082,0.37203781619960336,10,1
umbrella,3.909674492326003,0.7469384131267276,0.33912877946956327,3,2
umbrella,3.69162441348864,-0.3842307965197855,0.34186090552062876,1,3
umbrella,3.3368277452468615,-1.4797199297178674,0.34485053255789944,2,4
clock,2.81236261768993,-0.41924327675817974,0.4527062312664494,11,0
clock,1.7165360381195214,-0.7926975283980733,0.4980752156116982,2,1
